t,x,CMC 2048,CMC 4096,CMC 10000,Strat 2048,Strat 4096,Strat 10000
0.0,0.0002,0.0002,0.0003,0.001,0.004,0.0039,0.0039
0.1,0.0002,0.0018,0.0007,0.0009,0.0036,0.0036,0.0035
0.2,0.0001,0.0007,-0.0004,0.0,0.0034,0.0031,0.0035
0.3,0.0,-0.0003,0.0,-0.0006,0.0024,0.0024,0.0024
0.4,-0.0002,-0.0024,-0.0028,-0.0027,0.0009,0.0006,0.0004
0.5,0.0,-0.0058,-0.0079,-0.0072,-0.0036,-0.0038,-0.0038
0.6,0.0002,0.0004,0.0014,0.0019,0.0051,0.0048,0.0052
0.7,0.0004,0.0078,0.0071,0.0075,0.0102,0.0105,0.0102
0.8,0.0002,0.011,0.0105,0.0107,0.0138,0.0138,0.0136
0.9,-0.0,0.0115,0.0124,0.0124,0.0153,0.015,0.0151
1.0,-0.0,0.0103,0.0105,0.0107,0.0134,0.0134,0.0135
1.1,-0.0002,0.0216,0.0208,0.021,0.0241,0.0242,0.0241
1.2,-0.0002,0.0258,0.0254,0.0264,0.0291,0.029,0.029
1.3,-0.0002,0.028,0.0271,0.0272,0.0309,0.0306,0.0306
1.4,-0.0,0.0265,0.0273,0.0271,0.0303,0.0302,0.0304
1.5,-0.0002,0.0241,0.0256,0.0256,0.0285,0.0286,0.0287
1.6,-0.0002,0.0234,0.0223,0.0229,0.0257,0.0258,0.0257
1.7,-0.0003,0.0184,0.0199,0.0197,0.0222,0.022,0.0224
1.8,-0.0006,0.0157,0.0163,0.0161,0.0185,0.0186,0.0185
1.9,-0.0001,0.0129,0.0117,0.0123,0.0144,0.0142,0.0142
2.0,-0.0001,0.0082,0.0082,0.0088,0.0105,0.0104,0.0102
2.1,-0.0,0.005,0.0051,0.0053,0.0069,0.0066,0.0067
2.2,-0.0001,0.0025,0.0022,0.0026,0.0038,0.0037,0.0038
2.3,-0.0002,0.0003,-0.0001,0.0001,0.0015,0.0013,0.0013
2.4,-0.0003,-0.0013,-0.0012,-0.0013,-0.0003,-0.0003,-0.0001
2.5,-0.0003,-0.002,-0.002,-0.0021,-0.0011,-0.0011,-0.001
2.6,-0.0002,-0.0023,-0.002,-0.002,-0.0013,-0.0013,-0.0012
2.7,-0.0001,-0.0016,-0.0013,-0.0014,-0.0009,-0.0009,-0.0009
2.8,0.0001,-0.0005,-0.0005,-0.0006,-0.0002,-0.0002,-0.0002
2.9,0.0001,0.0003,0.0002,0.0002,0.0005,0.0005,0.0004
3.0,0.0,0.0004,0.0004,0.0004,0.0006,0.0006,0.0005
