t,True prob,x,CMC 2048,CMC 4096,CMC 10000,Strat 2048,Strat 4096,Strat 10000
0.0,0.625,0.625,0.625,0.625,0.626,0.629,0.629,0.629
0.1,0.606,0.606,0.608,0.607,0.607,0.609,0.61,0.609
0.2,0.589,0.589,0.589,0.588,0.589,0.592,0.592,0.592
0.3,0.573,0.573,0.573,0.573,0.572,0.575,0.575,0.575
0.4,0.559,0.559,0.557,0.557,0.557,0.56,0.56,0.56
0.5,0.548,0.548,0.542,0.54,0.54,0.544,0.544,0.544
0.6,0.518,0.518,0.518,0.519,0.519,0.523,0.522,0.523
0.7,0.489,0.49,0.497,0.496,0.497,0.499,0.5,0.499
0.8,0.462,0.463,0.473,0.473,0.473,0.476,0.476,0.476
0.9,0.437,0.437,0.448,0.449,0.449,0.452,0.452,0.452
1.0,0.413,0.413,0.423,0.423,0.423,0.426,0.426,0.426
1.1,0.37,0.37,0.392,0.391,0.391,0.394,0.394,0.394
1.2,0.331,0.33,0.356,0.356,0.357,0.36,0.36,0.36
1.3,0.294,0.294,0.322,0.321,0.321,0.325,0.324,0.324
1.4,0.259,0.259,0.286,0.287,0.286,0.29,0.289,0.29
1.5,0.227,0.227,0.251,0.253,0.253,0.256,0.256,0.256
1.6,0.198,0.197,0.221,0.22,0.22,0.223,0.223,0.223
1.7,0.17,0.17,0.188,0.19,0.19,0.192,0.192,0.192
1.8,0.145,0.144,0.16,0.161,0.161,0.163,0.163,0.163
1.9,0.121,0.121,0.134,0.133,0.134,0.136,0.136,0.136
2.0,0.1,0.1,0.108,0.108,0.109,0.111,0.111,0.11
2.1,0.081,0.081,0.086,0.086,0.086,0.088,0.088,0.088
2.2,0.064,0.064,0.067,0.066,0.067,0.068,0.068,0.068
2.3,0.049,0.049,0.049,0.049,0.049,0.051,0.05,0.05
2.4,0.036,0.036,0.035,0.035,0.035,0.036,0.036,0.036
2.5,0.025,0.025,0.023,0.023,0.023,0.024,0.024,0.024
2.6,0.016,0.016,0.014,0.014,0.014,0.015,0.015,0.015
2.7,0.009,0.009,0.007,0.008,0.008,0.008,0.008,0.008
2.8,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004
2.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
