t,x,CMC 2048,CMC 4096,CMC 10000,Strat 2048,Strat 4096,Strat 10000
0.0,0.00012,0.00033,0.00025,0.00025,0.0002,0.00021,0.00021
0.1,0.00013,0.00031,0.0003,0.00026,0.00021,0.00022,0.00022
0.2,0.00012,0.00035,0.00029,0.00026,0.00022,0.00022,0.00022
0.3,0.00013,0.00035,0.00029,0.00028,0.00023,0.00021,0.00022
0.4,0.00013,0.00038,0.00028,0.00027,0.00021,0.00021,0.00021
0.5,0.00013,0.00037,0.00032,0.00028,0.00021,0.00022,0.00021
0.6,0.00014,0.00039,0.00028,0.00027,0.00019,0.00019,0.00019
0.7,0.00013,0.00032,0.00031,0.00027,0.00019,0.00019,0.00018
0.8,0.00013,0.0004,0.0003,0.00028,0.00019,0.0002,0.0002
0.9,0.00013,0.00039,0.00034,0.0003,0.0002,0.00021,0.00021
1.0,0.00012,0.00038,0.00034,0.0003,0.00022,0.00022,0.00022
1.1,0.00012,0.00036,0.00035,0.00031,0.00022,0.00022,0.00022
1.2,0.00012,0.00038,0.00034,0.00032,0.00023,0.00023,0.00023
1.3,0.00011,0.00038,0.00038,0.0003,0.00024,0.00024,0.00023
1.4,0.00011,0.00043,0.00035,0.00033,0.00025,0.00025,0.00025
1.5,9e-05,0.00043,0.00034,0.00034,0.00026,0.00027,0.00026
1.6,8e-05,0.00038,0.00037,0.00034,0.00027,0.00028,0.00028
1.7,7e-05,0.0004,0.00036,0.00033,0.00027,0.00028,0.00027
1.8,6e-05,0.00036,0.00032,0.00032,0.00026,0.00027,0.00027
1.9,6e-05,0.00032,0.00031,0.00028,0.00024,0.00024,0.00024
2.0,5e-05,0.00027,0.00025,0.00025,0.00021,0.00021,0.00021
2.1,4e-05,0.00023,0.00019,0.00018,0.00016,0.00016,0.00016
2.2,3e-05,0.00017,0.00014,0.00013,0.00012,0.00012,0.00012
2.3,2e-05,0.00011,9e-05,8e-05,8e-05,8e-05,8e-05
2.4,2e-05,6e-05,6e-05,5e-05,5e-05,5e-05,5e-05
2.5,1e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05
2.6,1e-05,2e-05,2e-05,1e-05,2e-05,2e-05,2e-05
2.7,0.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
2.8,0.0,1e-05,0.0,0.0,1e-05,1e-05,1e-05
2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
