t,x,CMC 2048,CMC 4096,CMC 10000,Strat 2048,Strat 4096,Strat 10000
0.0,-0.0002,-0.0021,-0.0051,-0.0044,-0.0019,-0.002,-0.0021
0.1,-0.0002,-0.0035,-0.0034,-0.0022,-0.0016,-0.0019,-0.0018
0.2,-0.0006,-0.0027,-0.0033,-0.0034,-0.0017,-0.0015,-0.0018
0.3,-0.0008,-0.0022,-0.0032,-0.0029,-0.0022,-0.0021,-0.0027
0.4,-0.0006,-0.0054,-0.0045,-0.0043,-0.0038,-0.0038,-0.0037
0.5,-0.0005,-0.0084,-0.0088,-0.0094,-0.0081,-0.0086,-0.0081
0.6,-0.0004,-0.0053,-0.005,-0.005,-0.004,-0.0041,-0.0042
0.7,-0.0003,-0.0045,-0.0032,-0.004,-0.0033,-0.0032,-0.0035
0.8,-0.0008,-0.0041,-0.0045,-0.0039,-0.0034,-0.0035,-0.0038
0.9,-0.0004,-0.0043,-0.0046,-0.0045,-0.004,-0.0041,-0.0039
1.0,-0.0003,-0.0084,-0.0068,-0.0076,-0.0074,-0.0071,-0.0073
1.1,-0.0002,-0.0019,-0.0025,-0.0033,-0.0026,-0.0023,-0.0023
1.2,-0.0003,-0.0011,-0.0018,-0.0019,-0.0015,-0.0019,-0.0019
1.3,-0.0006,-0.002,-0.0016,-0.0013,-0.0016,-0.0015,-0.0017
1.4,-0.0003,-0.0014,-0.001,-0.001,-0.0016,-0.0016,-0.0014
1.5,0.0001,-0.0004,-0.0015,-0.0005,-0.001,-0.001,-0.0009
1.6,-0.0001,-0.0003,0.0,-0.001,-0.0008,-0.0008,-0.0006
1.7,-0.0006,0.0006,0.0001,-0.0004,-0.0002,-0.0001,-0.0003
1.8,-0.0006,-0.0007,0.0005,0.0002,-0.0001,0.0,-0.0
1.9,-0.0003,0.0006,0.0005,0.0008,0.0003,0.0001,0.0003
2.0,-0.0001,0.0004,0.0011,0.0013,0.0007,0.0006,0.0008
2.1,0.0001,0.0013,0.0013,0.0014,0.0011,0.0014,0.0011
2.2,-0.0001,0.0017,0.002,0.0015,0.0014,0.0017,0.0015
2.3,-0.0003,0.0026,0.0019,0.0019,0.0017,0.0017,0.0017
2.4,-0.0002,0.0019,0.0021,0.0018,0.0016,0.0017,0.0018
2.5,-0.0001,0.0019,0.0017,0.0018,0.0018,0.0017,0.0017
2.6,-0.0,0.0019,0.0019,0.002,0.0017,0.0019,0.0019
2.7,-0.0001,0.0022,0.0021,0.002,0.0021,0.0021,0.0022
2.8,-0.0,0.0025,0.0025,0.0025,0.0026,0.0025,0.0026
2.9,-0.0,0.0029,0.003,0.003,0.0031,0.0031,0.0031
3.0,0.0,0.0033,0.0032,0.0032,0.0033,0.0033,0.0033
