t,x,CMC 2048,CMC 4096,CMC 10000,Strat 2048,Strat 4096,Strat 10000
0.0,0.00014,0.00214,0.00205,0.00201,0.00213,0.00215,0.00215
0.1,0.00014,0.00192,0.00198,0.00193,0.0021,0.00209,0.0021
0.2,0.00014,0.00202,0.00189,0.00185,0.00203,0.00204,0.00204
0.3,0.00014,0.00197,0.00189,0.00185,0.00202,0.00202,0.00201
0.4,0.00014,0.00188,0.00189,0.00184,0.00203,0.00202,0.002
0.5,0.00014,0.00199,0.00203,0.00196,0.00215,0.00213,0.00214
0.6,0.00014,0.00189,0.00188,0.00192,0.00207,0.00208,0.00207
0.7,0.00014,0.00195,0.00187,0.00186,0.00198,0.00198,0.00197
0.8,0.00014,0.00188,0.00179,0.00175,0.00189,0.00189,0.00188
0.9,0.00014,0.00185,0.00176,0.00173,0.00184,0.00184,0.00186
1.0,0.00013,0.00176,0.00169,0.00167,0.00174,0.00177,0.00178
1.1,0.00012,0.0016,0.00157,0.00153,0.00163,0.00162,0.00162
1.2,0.00012,0.00152,0.0014,0.0014,0.00149,0.00153,0.00152
1.3,0.00011,0.00146,0.00142,0.00137,0.00145,0.00147,0.00147
1.4,0.00011,0.00133,0.00138,0.00132,0.00145,0.00143,0.00145
1.5,9e-05,0.00144,0.00132,0.00134,0.00143,0.00142,0.00145
1.6,9e-05,0.0014,0.00133,0.00134,0.00144,0.00143,0.00144
1.7,8e-05,0.00139,0.00135,0.0013,0.00144,0.00145,0.00145
1.8,7e-05,0.0013,0.00134,0.00135,0.00139,0.00142,0.00146
1.9,6e-05,0.00134,0.00139,0.00134,0.00144,0.00141,0.00143
2.0,5e-05,0.0014,0.00135,0.00131,0.0014,0.00141,0.00141
2.1,4e-05,0.00139,0.0013,0.00133,0.00138,0.00141,0.00141
2.2,3e-05,0.0014,0.00134,0.00132,0.00138,0.00139,0.00138
2.3,2e-05,0.00143,0.00127,0.00126,0.00134,0.00136,0.00134
2.4,2e-05,0.00129,0.00131,0.00126,0.00134,0.00131,0.00136
2.5,1e-05,0.00124,0.00129,0.00122,0.00132,0.00133,0.00134
2.6,1e-05,0.00133,0.00127,0.00123,0.00129,0.0013,0.00133
2.7,0.0,0.00121,0.00124,0.00121,0.00128,0.00133,0.00129
2.8,0.0,0.00122,0.00124,0.00121,0.00126,0.00126,0.00128
2.9,0.0,0.00107,0.00117,0.00115,0.00123,0.0012,0.00121
3.0,0.0,0.00117,0.00112,0.00111,0.00118,0.00117,0.00118
